,Weeknum,Total GMV,Total Purchased GMV,Manual GMV Purchases,Partner GMV Purchases,% Manual,% Partner,Total Creators,Creators joining Last 7 Days,Creators joining Last 30 Days,Aggregate Wishlist Items Value,Wishlist Manual Items Value,Wishlist Partner Items Value,% Manual,% Partner,Wishlist Conversion
Week 18,18, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 19,19, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 20,20, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 21,21, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 22,22, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 23,23, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 24,24, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 25,25, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 26,26, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 27,27, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 28,28, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 29,29, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 30,30, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 31,31, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 32,32, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 33,33, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 34,34, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 35,35, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 36,36, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 37,37, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 38,38, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 39,39, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 40,40, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 41,41, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 42,42, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 43,43, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 44,44, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 45,45, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 46,46, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 47,47, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 48,48, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 49,49, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 50,50, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 51,51, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
Week 52,52, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%
,,,,,,,,,,,,,,,,
,Reference:,j1,n4,n2,n3,,,j2,j6,j5,ac4,ac2,ac3,,,ac7
